season	ep	rate
1	1	9.1
1	2	8.8
1	3	8.7
1	4	8.8
1	5	9.1 
1	6	9.2
1	7	9.3
1	8	9.1
1	9	9.6
1	10	9.5
2	1	8.9
2	2	8.6
2	3	8.9
2	4	8.9
2	5	8.9
2	6	9.1
2	7	9.0
2	8	8.9
2	9	9.7
2	10	9.4
3	1	8.9 
3	2	8.7
3	3	8.9
3	4	9.6
3	5	9.0
3	6	8.9
3	7	8.8
3	8	9.1
3	9	9.9
3	10	9.2
4	1	9.1
4	2	9.7
4	3	8.9
4	4	8.9
4	5	8.8
4	6	9.7
4	7	9.2
4	8	9.7
4	9	9.6
4	10	9.7
5	1	8.6 
5	2	8.6
5	3	8.6
5	4	8.8
5	5	8.7 
5	6	8.1
5	7	9.1
5	8	9.9
5	9	9.5
5	10	9.1
6	1	8.6 
6	2	9.4
6	3	8.8
6	4	9.2
6	5	9.7
6	6	8.5
6	7	8.7
6	8	8.5 
6	9	9.9
6	10	9.9
7	1	8.7
7	2	9.0
7	3	9.3
7	4	9.8
7	5	9.0
7	6	9.2
7	7	9.5
8	1	8.3
8	2	8.6
8	3	8.3 
8	4	6.5
